Season,TradeID,Date,Trade,Acquiring Team,Asset Type,Asset,Position,Notes
2015-16,2016-06-29-NJD-EDM,2016-06-29,NJD / EDM,NJD,Player,Taylor Hall,LW,
2015-16,2016-06-29-NJD-EDM,2016-06-29,NJD / EDM,EDM,Player,Adam Larsson,RD,
2015-16,2016-06-29-MTL-NSH,2016-06-29,MTL / NSH,MTL,Player,Shea Weber,RD,
2015-16,2016-06-29-MTL-NSH,2016-06-29,MTL / NSH,NSH,Player,P.K. Subban,,
2015-16,2016-06-27-CGY-OTT,2016-06-27,CGY / OTT,CGY,Player,Alex Chiasson,RW,
2015-16,2016-06-27-CGY-OTT,2016-06-27,CGY / OTT,OTT,Player,Patrick Sieloff,LD,
2015-16,2016-06-25-PIT-NJD,2016-06-25,PIT / NJD,PIT,Draft Pick,2016 3rd Round,,
2015-16,2016-06-25-PIT-NJD,2016-06-25,PIT / NJD,NJD,Player,Beau Bennett,RW,
2015-16,2016-06-25-NYR-COL,2016-06-25,NYR / COL,NYR,Player,Nick Holden,LD,
2015-16,2016-06-25-NYR-COL,2016-06-25,NYR / COL,COL,Draft Pick,2017 4th Round,,
2015-16,2016-06-25-BUF-FLA,2016-06-25,BUF / FLA,BUF,Player,Dmitry Kulikov,LD,
2015-16,2016-06-25-BUF-FLA,2016-06-25,BUF / FLA,BUF,Draft Pick,2016 2nd Round,,
2015-16,2016-06-25-BUF-FLA,2016-06-25,BUF / FLA,FLA,Draft Pick,2016 2nd Round,,
2015-16,2016-06-25-BUF-FLA,2016-06-25,BUF / FLA,FLA,Draft Pick,2016 3rd Round,,
2015-16,2016-06-25-BUF-FLA,2016-06-25,BUF / FLA,FLA,Player,Mark Pysyk,RD,
2015-16,2016-06-25-TOR-CBJ,2016-06-25,TOR / CBJ,TOR,Player,Kerby Rychel,LW,
2015-16,2016-06-25-TOR-CBJ,2016-06-25,TOR / CBJ,CBJ,Draft Pick,2017 5th Round,,conditional
2015-16,2016-06-25-TOR-CBJ,2016-06-25,TOR / CBJ,CBJ,Player,Scott Harrington,LD,
2015-16,2016-06-25-TBL-UTA,2016-06-25,TBL / UTA,TBL,Draft Pick,2016 2nd Round,,
2015-16,2016-06-25-TBL-UTA,2016-06-25,TBL / UTA,UTA,Player,Anthony DeAngelo,RD,
2015-16,2016-06-25-PHI-NYI,2016-06-25,PHI / NYI,PHI,Draft Pick,2017 4th Round,,
2015-16,2016-06-25-PHI-NYI,2016-06-25,PHI / NYI,NYI,Draft Pick,2016 4th Round,,
2015-16,2016-06-25-MTL-WPG,2016-06-25,MTL / WPG,MTL,Draft Pick,2016 7th Round,,
2015-16,2016-06-25-MTL-WPG,2016-06-25,MTL / WPG,WPG,Draft Pick,2017 7th Round,,
2015-16,2016-06-25-LAK-DAL,2016-06-25,LAK / DAL,LAK,Player,Jack Campbell,G,
2015-16,2016-06-25-LAK-DAL,2016-06-25,LAK / DAL,DAL,Player,Nick Ebert,RD,
2015-16,2016-06-25-CHI-STL,2016-06-25,CHI / STL,CHI,Draft Pick,2017 5th Round,,
2015-16,2016-06-25-CHI-STL,2016-06-25,CHI / STL,STL,Draft Pick,2016 5th Round,,
2015-16,2016-06-25-CHI-NYI,2016-06-25,CHI / NYI,CHI,Draft Pick,2016 4th Round,,
2015-16,2016-06-25-CHI-NYI,2016-06-25,CHI / NYI,CHI,Draft Pick,2017 6th Round,,
2015-16,2016-06-25-CHI-NYI,2016-06-25,CHI / NYI,NYI,Draft Pick,2016 4th Round,,
2015-16,2016-06-25-BOS-FLA,2016-06-25,BOS / FLA,BOS,Draft Pick,2017 7th Round,,
2015-16,2016-06-25-BOS-FLA,2016-06-25,BOS / FLA,FLA,Draft Pick,2016 7th Round,,
2015-16,2016-06-24-STL-CGY,2016-06-24,STL / CGY,STL,Draft Pick,2016 2nd Round,,
2015-16,2016-06-24-STL-CGY,2016-06-24,STL / CGY,STL,Draft Pick,2018 3rd Round,,conditional
2015-16,2016-06-24-STL-CGY,2016-06-24,STL / CGY,CGY,Player,Brian Elliott,G,
2015-16,2016-06-24-MTL-WSH,2016-06-24,MTL / WSH,MTL,Draft Pick,2017 2nd Round,,
2015-16,2016-06-24-MTL-WSH,2016-06-24,MTL / WSH,MTL,Draft Pick,2018 2nd Round,,
2015-16,2016-06-24-MTL-WSH,2016-06-24,MTL / WSH,WSH,Player,Lars Eller,C,
2015-16,2016-06-24-STL-WSH,2016-06-24,STL / WSH,STL,Draft Pick,2016 1st Round,,
2015-16,2016-06-24-STL-WSH,2016-06-24,STL / WSH,WSH,Draft Pick,2016 1st Round,,
2015-16,2016-06-24-STL-WSH,2016-06-24,STL / WSH,WSH,Draft Pick,2016 3rd Round,,
2015-16,2016-06-24-PHI-WPG,2016-06-24,PHI / WPG,PHI,Draft Pick,2016 1st Round,,
2015-16,2016-06-24-PHI-WPG,2016-06-24,PHI / WPG,PHI,Draft Pick,2016 2nd Round,,
2015-16,2016-06-24-PHI-WPG,2016-06-24,PHI / WPG,WPG,Draft Pick,2016 1st Round,,
2015-16,2016-06-24-PHI-WPG,2016-06-24,PHI / WPG,WPG,Draft Pick,2016 3rd Round,,
2015-16,2016-06-24-NJD-OTT,2016-06-24,NJD / OTT,NJD,Draft Pick,2016 1st Round,,
2015-16,2016-06-24-NJD-OTT,2016-06-24,NJD / OTT,NJD,Draft Pick,2016 3rd Round,,
2015-16,2016-06-24-NJD-OTT,2016-06-24,NJD / OTT,OTT,Draft Pick,2016 1st Round,,
2015-16,2016-06-24-MTL-CHI,2016-06-24,MTL / CHI,MTL,Player,Andrew Shaw,RW,
2015-16,2016-06-24-MTL-CHI,2016-06-24,MTL / CHI,CHI,Draft Pick,2016 2nd Round,,
2015-16,2016-06-24-MTL-CHI,2016-06-24,MTL / CHI,CHI,Draft Pick,2016 2nd Round,,
2015-16,2016-06-24-DET-UTA,2016-06-24,DET / UTA,DET,Draft Pick,2016 2nd Round,,
2015-16,2016-06-24-DET-UTA,2016-06-24,DET / UTA,DET,Draft Pick,2016 1st Round,,
2015-16,2016-06-24-DET-UTA,2016-06-24,DET / UTA,DET,Player,Joe Vitale,C,
2015-16,2016-06-24-DET-UTA,2016-06-24,DET / UTA,UTA,Draft Pick,2016 1st Round,,
2015-16,2016-06-24-DET-UTA,2016-06-24,DET / UTA,UTA,Player,Pavel Datsyuk,C,
2015-16,2016-06-23-COL-FLA,2016-06-23,COL / FLA,COL,Player,Rocco Grimaldi,RW,
2015-16,2016-06-23-COL-FLA,2016-06-23,COL / FLA,FLA,Player,Reto Berra,G,
2015-16,2016-06-20-TOR-ANA,2016-06-20,TOR / ANA,TOR,Player,Frederik Andersen,G,
2015-16,2016-06-20-TOR-ANA,2016-06-20,TOR / ANA,ANA,Draft Pick,2017 2nd Round,,
2015-16,2016-06-20-TOR-ANA,2016-06-20,TOR / ANA,ANA,Draft Pick,2016 1st Round,,
2015-16,2016-06-20-SJS-UTA,2016-06-20,SJS / UTA,SJS,Draft Pick,2017 6th Round,,
2015-16,2016-06-20-SJS-UTA,2016-06-20,SJS / UTA,SJS,Player,Maxim Letunov,C,
2015-16,2016-06-20-SJS-UTA,2016-06-20,SJS / UTA,UTA,Draft Pick,2017 3rd Round,,
2015-16,2016-06-20-SJS-UTA,2016-06-20,SJS / UTA,UTA,Draft Pick,2016 4th Round,,
2015-16,2016-06-20-NYR-FLA,2016-06-20,NYR / FLA,NYR,Draft Pick,2017 4th Round,,conditional
2015-16,2016-06-20-NYR-FLA,2016-06-20,NYR / FLA,NYR,Draft Pick,2016 6th Round,,
2015-16,2016-06-20-NYR-FLA,2016-06-20,NYR / FLA,FLA,Player,Keith Yandle,LD,
2015-16,2016-06-20-BUF-NSH,2016-06-20,BUF / NSH,BUF,Player,Jimmy Vesey,LW,
2015-16,2016-06-20-BUF-NSH,2016-06-20,BUF / NSH,NSH,Draft Pick,2016 3rd Round,,
2015-16,2016-06-16-DAL-UTA,2016-06-16,DAL / UTA,DAL,Draft Pick,2016 5th Round,,
2015-16,2016-06-16-DAL-UTA,2016-06-16,DAL / UTA,UTA,Player,Alex Goligoski,LD,
2015-16,2016-06-15-CHI-CAR,2016-06-15,CHI / CAR,CHI,Draft Pick,2017 3rd Round,,
2015-16,2016-06-15-CHI-CAR,2016-06-15,CHI / CAR,CHI,Draft Pick,2016 2nd Round,,
2015-16,2016-06-15-CHI-CAR,2016-06-15,CHI / CAR,CAR,Player,Teuvo Teräväinen,LW,
2015-16,2016-06-15-CHI-CAR,2016-06-15,CHI / CAR,CAR,Player,Bryan Bickell,LW,
2015-16,2016-06-10-NJD-FLA,2016-06-10,NJD / FLA,NJD,Draft Pick,2018 2nd Round,,
2015-16,2016-06-10-NJD-FLA,2016-06-10,NJD / FLA,NJD,Player,Marc Savard,C,
2015-16,2016-06-10-NJD-FLA,2016-06-10,NJD / FLA,FLA,Player,Graham Black,C,
2015-16,2016-06-10-NJD-FLA,2016-06-10,NJD / FLA,FLA,Player,Paul Thompson,RW,
2015-16,2016-05-26-DET-SJS,2016-05-26,DET / SJS,DET,Player,Dylan Sadowy,LW,
2015-16,2016-05-26-DET-SJS,2016-05-26,DET / SJS,SJS,Draft Pick,2017 3rd Round,,
2015-16,2016-05-25-VAN-FLA,2016-05-25,VAN / FLA,VAN,Player,Erik Gudbranson,RD,
2015-16,2016-05-25-VAN-FLA,2016-05-25,VAN / FLA,VAN,Draft Pick,2016 5th Round,,
2015-16,2016-05-25-VAN-FLA,2016-05-25,VAN / FLA,FLA,Draft Pick,2016 2nd Round,,
2015-16,2016-05-25-VAN-FLA,2016-05-25,VAN / FLA,FLA,Player,Jared McCann,LW,
2015-16,2016-05-25-VAN-FLA,2016-05-25,VAN / FLA,FLA,Draft Pick,2016 4th Round,,
2015-16,2016-03-07-VAN-CAR,2016-03-07,VAN / CAR,VAN,Other,Future Considerations,,
2015-16,2016-03-07-VAN-CAR,2016-03-07,VAN / CAR,CAR,Player,Dane Fox,LW,
2015-16,2016-03-05-BOS-STL,2016-03-05,BOS / STL,BOS,Other,Future Considerations,,
2015-16,2016-03-05-BOS-STL,2016-03-05,BOS / STL,STL,Player,Zack Phillips,C,
2015-16,2016-02-29-MTL-NJD,2016-02-29,MTL / NJD,MTL,Player,Stefan Matteau,C,
2015-16,2016-02-29-MTL-NJD,2016-02-29,MTL / NJD,NJD,Player,Devante Smith-Pelly,RW,
2015-16,2016-02-29-LAK-MIN,2016-02-29,LAK / MIN,LAK,Player,Brett Sutter,LW,
2015-16,2016-02-29-LAK-MIN,2016-02-29,LAK / MIN,MIN,Player,Scott Sabourin,RW,
2015-16,2016-02-29-CHI-ANA,2016-02-29,CHI / ANA,CHI,Draft Pick,2017 7th Round,,
2015-16,2016-02-29-CHI-ANA,2016-02-29,CHI / ANA,CHI,Player,Tim Jackman,RW,
2015-16,2016-02-29-CHI-ANA,2016-02-29,CHI / ANA,ANA,Player,Corey Tropp,RW,
