PLAYERS,POS,HAND,BIRTHPLACE,AGE,PROJ. CAP,PROJ. TERM,GP,TOI,P,P/G,CAP,QO
"Bedard, Connor",C,Right,"British Columbia, North Vancouver",20,"$12,364,114",8 yrs,69,20:52,75,1.09,"$950,000","$897,750"
"Robertson, Jason",LW,Left,"California, Arcadia",26,"$11,941,800",8 yrs,82,20:15,96,1.17,"$7,750,000","$9,300,000"
"Carlsson, Leo",C,Left,Karlstad,21,"$11,447,428",8 yrs,70,19:09,67,0.96,"$950,000","$897,750"
"Fantilli, Adam",C,Left,"Ontario, Nobleton",21,"$10,008,266",8 yrs,82,18:54,59,0.72,"$950,000","$897,750"
"Dorofeyev, Pavel","RW, LW",Left,Nizhny Tagil,25,"$8,987,242",6 yrs,82,17:36,64,0.78,"$1,835,000","$1,500,000"
"Gauthier, Cutter","LW, RW",Left,Skelleftea,22,"$8,807,136",7 yrs,76,17:15,69,0.91,"$950,000","$897,750"
"Edvinsson, Simon",LD,Left,Kungsbacka,23,"$8,776,733",7 yrs,72,22:21,25,0.35,"$894,167","$874,125"
"Clarke, Brandt",RD,Right,"Ontario, Nepean",23,"$8,521,760",7 yrs,82,19:48,40,0.49,"$863,333","$874,125"
"Zegras, Trevor","LW, C",Left,"New York, Bedford",25,"$8,211,337",5 yrs,81,18:43,67,0.83,"$5,750,000","$5,750,000"
"Nemec, Simon",RD,Right,Liptovský Mikuláš,22,"$8,060,650",7 yrs,68,19:40,26,0.38,"$918,333","$897,750"
"Drysdale, Jamie",RD,Right,"Ontario, Toronto",24,"$7,292,350",6 yrs,78,21:33,32,0.41,"$2,300,000","$2,300,000"
"Benson, Zach",LW,Left,"British Columbia, Chilliwack",21,"$6,975,428",7 yrs,65,15:53,43,0.66,"$950,000","$897,750"
"Zellweger, Olen",LD,Left,"Alberta, Calgary",22,"$6,517,550",7 yrs,76,16:59,22,0.29,"$844,167","$874,125"
"McMichael, Connor","LW, C",Left,"Ontario, Ajax",25,"$6,461,728",5 yrs,78,16:54,46,0.59,"$2,100,000","$2,100,000"
"Nikishin, Alexander","LD, RD",Left,Orel,24,"$6,440,200",6 yrs,81,18:11,33,0.41,"$925,000","$874,125"
"Perfetti, Cole","LW, RW, C",Left,"Ontario, Whitby",24,"$6,395,504",5 yrs,68,15:37,32,0.47,"$3,250,000","$3,500,000"
"Bolduc, Zack","LW, RW",Left,"Quebec, Trois-Rivières",23,"$6,063,200",7 yrs,78,13:38,30,0.38,"$863,333","$874,125"
"Mintyukov, Pavel",LD,Left,Moscow,22,"$6,059,300",6 yrs,73,18:26,22,0.3,"$918,333","$897,750"
"Greaves, Jet",G,Left,"Ontario, Cambridge",25,"$6,046,560",4 yrs,55,59:33:00,0,-,"$812,500","$840,000"
"Schneider, Braden","RD, LD",Right,"Saskatchewan, Prince Albert",24,"$6,021,600",6 yrs,82,20:27,18,0.22,"$2,200,000","$2,640,000"
