PLAYERS,TEAM,POS,AGE,CAP HIT,TOTAL,AAV,TERM,SIGN. STATUS,SIGN. AGE,EXPIRY,CONTRACT START,EXPIRY YEAR,WAIVERS EXEMPT,SIGNED BY,BASE SALARY,SIGNING BONUS,PERF BONUS,TYPE
"Kaprizov, Kirill",MIN,LW,29,"$17,000,000","$19,100,000","$17,000,000",8 yrs,UFA,28,UFA,2026,2034,No,Bill Guerin,"$1,000,000","$18,100,000",$0,Std (Ext)
"Draisaitl, Leon",EDM,"C, LW",30,"$14,000,000","$16,500,000","$14,000,000",8 yrs,UFA,28,UFA,2025,2033,No,Stan Bowman,"$1,000,000","$15,500,000",$0,Std (Ext)
"Eichel, Jack",VGK,C,29,"$13,500,000","$17,700,000","$13,500,000",8 yrs,UFA,28,UFA,2026,2034,No,Kelly McCrimmon,"$850,000","$16,850,000",$0,Std (Ext)
"Matthews, Auston",TOR,C,28,"$13,250,000","$11,080,000","$13,250,000",4 yrs,UFA,25,UFA,2024,2028,No,Brad Treliving,"$900,000","$10,180,000",$0,Std (Ext)
"MacKinnon, Nathan",COL,C,30,"$12,600,000","$12,150,000","$12,600,000",8 yrs,UFA,27,UFA,2023,2031,No,Chris MacFarland,"$9,150,000","$3,000,000",$0,Std (Ext)
"McDavid, Connor",EDM,C,29,"$12,500,000","$14,250,000","$12,500,000",2 yrs,UFA,28,UFA,2026,2028,No,Stan Bowman,"$850,000","$13,400,000",$0,Std (Ext)
"Connor, Kyle",WPG,LW,29,"$12,000,000","$15,000,000","$12,000,000",8 yrs,UFA,28,UFA,2026,2034,No,Kevin Cheveldayoff,"$7,500,000","$7,500,000",$0,Std (Ext)
"Rantanen, Mikko",DAL,RW,29,"$12,000,000","$11,250,000","$12,000,000",8 yrs,UFA,28,UFA,2025,2033,No,Jim Nill,"$5,650,000","$5,600,000",$0,Std (Ext)
"Marner, Mitch",VGK,"C, RW, LW",29,"$12,000,000","$14,000,000","$12,000,000",8 yrs,UFA,28,UFA,2025,2033,No,Brad Treliving,"$4,000,000","$10,000,000",$0,Std (Ext)
"Pettersson, Elias",VAN,C,27,"$11,600,000","$11,000,000","$11,600,000",8 yrs,RFA (Arb),25,UFA,2024,2032,No,Patrik Allvin,"$11,000,000",$0,$0,Std (Ext)
"Shesterkin, Igor",NYR,G,30,"$11,503,125","$15,850,000","$11,503,125",8 yrs,UFA,28,UFA,2025,2033,No,Chris Drury,"$850,000","$15,000,000",$0,Std (Ext)
