player,pos,comb,cov,turn,rush,trk_ga,real_ga,ga60,xga60,toi_min,tier
Zach Bogosian #24,D,0.102,0.077,0.02,0.006,35,72,3.66,2.44,1181,T3
Philip Broberg #6,D,0.11,0.101,0.009,0.0,25,50,2.24,2.3,1342,T2
Mikey Anderson #44,D,0.126,0.089,0.024,0.013,32,65,2.5,2.1,1562,T1
Emil Lilleberg #78,D,0.126,0.098,0.028,0.0,35,52,2.72,2.46,1146,T4
Rasmus Ristolainen #55,D,0.129,0.104,0.011,0.013,35,61,3.49,2.21,1048,T4
Simon Edvinsson #77,D,0.133,0.113,0.015,0.005,46,78,3.28,2.57,1426,T2
Nick Perbix #48,D,0.137,0.116,0.013,0.008,34,45,2.44,2.46,1105,T4
Parker Wotherspoon #29,D,0.141,0.108,0.008,0.025,29,40,2.71,2.23,886,T4
Alexandre Carrier #45,D,0.141,0.127,0.011,0.004,54,90,3.62,2.71,1492,T2
Darnell Nurse #25,D,0.143,0.085,0.038,0.02,44,104,3.33,2.52,1871,T1
Noah Hanifin #15,D,0.146,0.128,0.013,0.004,50,95,3.35,2.52,1703,T1
Dylan DeMelo #2,D,0.146,0.136,0.005,0.005,40,75,2.55,2.35,1765,T1
Connor Clifton #75,D,0.146,0.125,0.021,0.0,34,70,4.39,2.76,957,T4
Roman Josi #59,D,0.147,0.127,0.004,0.016,40,71,4.34,2.58,981,T4
Darren Raddysh #43,D,0.15,0.109,0.018,0.023,28,50,2.66,2.47,1128,T4
Ben Chiarot #8,D,0.151,0.13,0.019,0.002,56,98,3.9,2.84,1506,T1
Miro Heiskanen #4,D,0.154,0.123,0.014,0.018,30,49,2.64,2.42,1116,T4
Vladislav Gavrikov #84,D,0.155,0.101,0.018,0.037,37,80,2.91,2.01,1648,T1
Owen Power #25,D,0.157,0.135,0.01,0.012,55,90,4.02,2.63,1342,T2
Brady Skjei #76,D,0.158,0.138,0.009,0.01,51,97,4.16,2.82,1398,T2
Jared Spurgeon #46,D,0.161,0.153,0.003,0.004,28,54,2.62,2.03,1237,T3
Troy Stecher #51,D,0.161,0.06,0.031,0.071,27,35,2.17,2.45,966,T4
Rasmus Dahlin #26,D,0.162,0.133,0.009,0.019,44,76,3.35,2.39,1359,T2
Mason Lohrei #6,D,0.162,0.123,0.02,0.02,55,87,4.18,2.67,1247,T3
Brandon Montour #62,D,0.164,0.151,0.012,0.001,57,87,3.42,2.59,1528,T1
Justin Barron #52,D,0.165,0.148,0.009,0.007,44,59,3.67,2.47,966,T4
Mattias Ekholm #14,D,0.166,0.114,0.029,0.023,37,87,4.03,2.38,1295,T3
Ryker Evans #41,D,0.166,0.122,0.013,0.032,47,73,3.49,2.45,1256,T3
Sean Walker #26,D,0.167,0.157,0.004,0.005,39,62,2.6,2.42,1431,T2
Brent Burns #8,D,0.167,0.122,0.02,0.025,42,91,3.5,2.51,1559,T1
Alex Vlasic #72,D,0.169,0.137,0.014,0.018,71,118,4.71,2.84,1504,T1
Seth Jones #4,D,0.169,0.143,0.014,0.013,45,98,3.78,2.67,1554,T1
Declan Chisholm #47,D,0.17,0.109,0.028,0.033,26,41,2.39,1.99,1031,T4
Marcus Pettersson #29,D,0.17,0.143,0.015,0.012,47,99,4.17,2.7,1425,T2
Brian Dumoulin #6,D,0.172,0.162,0.004,0.005,41,78,3.22,2.87,1453,T2
Rasmus Andersson #4,D,0.173,0.14,0.013,0.019,51,102,4.21,2.66,1455,T2
Nick Seeler #24,D,0.174,0.155,0.01,0.009,39,66,3.37,2.32,1176,T4
Mattias Samuelsson #23,D,0.175,0.149,0.004,0.021,40,78,4.75,2.71,985,T4
Brayden McNabb #3,D,0.175,0.155,0.019,0.0,37,79,2.89,2.25,1638,T1
Henri Jokiharju #44,D,0.176,0.119,0.039,0.018,30,45,2.79,2.56,969,T4
