player,pos,comb,cov,turn,rush,trk_ga,real_ga,ga60,xga60,toi_min,tier
Mackie Samoskevich #25,F,0.002,0.002,0.0,0.0,27,33,2.35,2.19,841,T4
Eric Robinson #50,F,0.004,0.0,0.004,0.0,29,50,2.75,2.42,1092,T2
Jared McCann #19,F,0.005,0.005,0.0,0.0,38,71,4.34,2.6,981,T3
Seth Jarvis #24,F,0.007,0.0,0.007,0.0,32,71,3.7,2.18,1151,T2
Matthew Tkachuk #19,F,0.007,0.003,0.002,0.002,27,52,3.07,2.33,1015,T3
Sam Steel #18,F,0.01,0.0,0.009,0.001,27,61,3.28,2.34,1115,T2
Brock Boeser #6,F,0.01,0.005,0.005,0.0,32,58,3.36,2.56,1034,T3
Mathieu Olivier #24,F,0.01,0.0,0.01,0.0,34,59,3.34,2.55,1060,T3
Kyle Palmieri #21,F,0.011,0.002,0.008,0.0,38,80,4.18,2.79,1150,T2
Paul Cotter #47,F,0.011,0.008,0.003,0.0,35,46,2.66,2.34,1037,T3
Bobby McMann #74,F,0.011,0.01,0.001,0.0,26,39,2.11,2.6,1107,T2
Jack Roslovic #98,F,0.012,0.005,0.004,0.003,42,62,3.43,2.85,1083,T2
Trevor Zegras #11,F,0.012,0.01,0.002,0.0,30,42,3.23,3.24,780,T4
Brady Tkachuk #7,F,0.013,0.008,0.004,0.0,30,52,2.91,2.28,1070,T2
Alex Laferriere #14,F,0.013,0.012,0.002,0.0,27,43,2.17,2.19,1191,T2
Cole Smith #36,F,0.014,0.012,0.002,0.0,31,51,3.9,2.39,784,T4
Nikolai Kovalenko #51,F,0.014,0.014,0.0,0.0,30,37,3.46,2.64,641,T4
Viktor Arvidsson #33,F,0.016,0.0,0.015,0.0,27,49,2.81,2.39,1045,T3
William Nylander #88,F,0.016,0.009,0.006,0.0,32,71,3.0,2.67,1419,T1
Joe Veleno #90,F,0.016,0.001,0.011,0.004,31,50,3.58,2.64,837,T4
Jesper Bratt #63,F,0.017,0.012,0.005,0.0,39,75,3.89,2.58,1155,T2
Matvei Michkov #39,F,0.017,0.012,0.002,0.003,48,71,4.16,2.5,1025,T3
Alex Newhook #15,F,0.017,0.012,0.003,0.002,42,64,3.41,2.94,1126,T2
Marcus Johansson #90,F,0.018,0.012,0.006,0.0,28,48,2.66,2.28,1084,T2
Ivan Barbashev #49,F,0.018,0.017,0.001,0.0,28,50,2.42,2.67,1241,T1
Andre Burakovsky #95,F,0.019,0.015,0.003,0.0,42,50,3.07,2.63,976,T3
Barrett Hayton #27,F,0.02,0.008,0.007,0.005,30,54,3.15,2.32,1028,T3
Timo Meier #28,F,0.02,0.015,0.006,0.0,27,46,2.14,2.35,1289,T1
Gustav Nyquist #41,F,0.02,0.002,0.003,0.016,34,75,4.18,2.52,1076,T2
John Beecher #19,F,0.02,0.019,0.001,0.0,25,48,3.85,2.3,747,T4
Clayton Keller #9,F,0.021,0.012,0.009,0.0,41,63,3.24,2.46,1166,T2
Dylan Holloway #81,F,0.021,0.02,0.0,0.0,30,40,2.21,2.14,1088,T2
Kevin Fiala #22,F,0.021,0.005,0.016,0.0,37,54,2.53,2.13,1280,T1
Frank Nazar #91,F,0.021,0.012,0.01,0.0,28,41,3.63,3.01,678,T4
Luke Kunin #11,F,0.022,0.009,0.01,0.003,50,71,4.72,2.92,903,T4
Evgeni Malkin #71,F,0.022,0.01,0.007,0.005,29,63,3.85,2.91,981,T3
Jack Hughes #86,F,0.022,0.011,0.009,0.002,28,47,2.97,2.33,951,T4
Ryan Strome #16,F,0.023,0.02,0.001,0.001,37,57,3.17,3.14,1078,T2
Patrick Kane #88,F,0.023,0.017,0.001,0.005,27,50,2.97,2.84,1010,T3
