player,team,position,clean_culprits,on_ice_ga,per60
Rasmus Andersson,CGY,D,4,73,0.168
Jakob Chychrun,WSH,D,3,52,0.122
Brenden Dillon,NJD,D,2,55,0.095
Cale Makar,COL,D,2,51,0.092
Darren Raddysh,TBL,D,2,54,0.098
Gustav Forsling,FLA,D,2,65,0.084
Jake Middleton,MIN,D,2,53,0.106
Evan Bouchard,EDM,D,2,68,0.082
Troy Stecher,TOR,D,1,42,0.056
Ryan Lindgren,SEA,D,1,46,0.052
K'Andre Miller,CAR,D,1,71,0.045
Nikita Zadorov,BOS,D,1,39,0.043
Henri Jokiharju,BOS,D,1,25,0.092
Alexandre Carrier,MTL,D,1,66,0.054
Niko Mikkola,FLA,D,1,47,0.051
Parker Wotherspoon,PIT,D,1,58,0.043
Brock Faber,MIN,D,1,74,0.038
Drew Helleson,ANA,D,1,50,0.067
Miro Heiskanen,DAL,D,1,55,0.045
Simon Nemec,NJD,D,1,54,0.051
Matt Grzelcyk,CHI,D,1,43,0.058
J.J. Moser,TBL,D,1,49,0.043
Jackson LaCombe,ANA,D,1,84,0.041
Albert Johansson,DET,D,1,47,0.052
Carson Soucy,NYI,D,1,38,0.054
Rasmus Dahlin,BUF,D,1,57,0.042
Zach Werenski,CBJ,D,1,65,0.039
Tyler Myers,VAN,D,1,64,0.05
Jalen Chatfield,CAR,D,1,63,0.049
Nikolas Matinpalo,OTT,D,1,27,0.086
John Carlson,WSH,D,1,64,0.05
Dylan DeMelo,WPG,D,1,66,0.04
MacKenzie Weegar,CGY,D,1,54,0.043
Tom Willander,VAN,D,1,56,0.059
Artyom Levshunov,CHI,D,1,57,0.058
Luke Schenn,WPG,D,1,37,0.101
Ben Chiarot,DET,D,1,66,0.04
Kris Letang,PIT,D,1,63,0.046
John Klingberg,SJS,D,1,46,0.064
Wyatt Kaiser,CHI,D,1,55,0.046
Matthew Schaefer,NYI,D,1,58,0.04
Tony DeAngelo,NYI,D,1,51,0.047
Jake McCabe,TOR,D,1,61,0.041
Dmitry Orlov,SJS,D,1,71,0.043
Cam York,PHI,D,1,57,0.047
Jamie Oleksiak,SEA,D,1,42,0.051
Rasmus Ristolainen,PHI,D,1,31,0.078
Marcus Pettersson,VAN,D,1,66,0.041
Adam Fox,NYR,D,1,33,0.059
Darnell Nurse,EDM,D,1,66,0.039
Ryker Evans,SEA,D,1,38,0.057
Trevor van Riemsdyk,WSH,D,1,33,0.062
Aaron Ekblad,FLA,D,1,52,0.051
Brent Burns,COL,D,0,51,0.0
Luke Hughes,NJD,D,0,47,0.0
Kaedan Korczak,VGK,D,0,49,0.0
Lane Hutson,MTL,D,0,69,0.0
Dante Fabbro,CBJ,D,0,47,0.0
Philip Broberg,STL,D,0,56,0.0
Joel Edmundson,LAK,D,0,41,0.0
Mattias Samuelsson,BUF,D,0,58,0.0
Dylan Samberg,WPG,D,0,42,0.0
Thomas Harley,DAL,D,0,56,0.0
Mattias Ekholm,EDM,D,0,62,0.0
Matt Roy,WSH,D,0,43,0.0
Devon Toews,COL,D,0,49,0.0
Pavel Mintyukov,ANA,D,0,53,0.0
Erik Cernak,TBL,D,0,41,0.0
Martin Fehérváry,WSH,D,0,46,0.0
Radko Gudas,ANA,D,0,32,0.0
Connor Murphy,CHI,D,0,47,0.0
Mikey Anderson,LAK,D,0,54,0.0
Ty Emberson,EDM,D,0,31,0.0
Shea Theodore,VGK,D,0,53,0.0
Logan Mailloux,STL,D,0,47,0.0
Louis Crevier,CHI,D,0,50,0.0
Mike Matheson,MTL,D,0,73,0.0
Ian Moore,ANA,D,0,39,0.0
Seth Jones,FLA,D,0,39,0.0
Ivan Provorov,CBJ,D,0,62,0.0
Nick Perbix,NSH,D,0,55,0.0
Rasmus Sandin,WSH,D,0,46,0.0
Mario Ferraro,SJS,D,0,60,0.0
Arber Xhekaj,MTL,D,0,29,0.0
Brandt Clarke,LAK,D,0,41,0.0
Olen Zellweger,ANA,D,0,46,0.0
Erik Karlsson,PIT,D,0,58,0.0
Artem Zub,OTT,D,0,45,0.0
Samuel Girard,COL,D,0,35,0.0
Roman Josi,NSH,D,0,66,0.0
Owen Power,BUF,D,0,56,0.0
Jake Sanderson,OTT,D,0,37,0.0
Damon Severson,CBJ,D,0,48,0.0
Noah Hanifin,VGK,D,0,65,0.0
Kaiden Guhle,MTL,D,0,35,0.0
Will Borgen,NYR,D,0,41,0.0
Conor Timmins,BUF,D,0,32,0.0
Nick Blankenburg,NSH,D,0,38,0.0
Morgan Rielly,TOR,D,0,74,0.0
Jonas Siegenthaler,NJD,D,0,56,0.0
Simon Edvinsson,DET,D,0,51,0.0
Ryan Shea,PIT,D,0,55,0.0
Nick Seeler,PHI,D,0,47,0.0
Nicolas Hague,NSH,D,0,47,0.0
Jayden Struble,MTL,D,0,26,0.0
Shakir Mukhamadullin,SJS,D,0,37,0.0
Quinn Hughes,MIN,D,0,76,0.0
Connor Clifton,PIT,D,0,28,0.0
Jonas Brodin,MIN,D,0,28,0.0
Charlie McAvoy,BOS,D,0,56,0.0
Ryan McDonagh,TBL,D,0,29,0.0
Moritz Seider,DET,D,0,55,0.0
Noah Dobson,MTL,D,0,73,0.0
Braden Schneider,NYR,D,0,54,0.0
Mason Lohrei,BOS,D,0,29,0.0
Simon Benoit,TOR,D,0,48,0.0
Jacob Bryson,WPG,D,0,26,0.0
Cody Ceci,LAK,D,0,53,0.0
Neal Pionk,WPG,D,0,34,0.0
Haydn Fleury,WPG,D,0,31,0.0
Dougie Hamilton,NJD,D,0,50,0.0
Adam Pelech,NYI,D,0,47,0.0
Justin Faulk,STL,D,0,57,0.0
Brayden McNabb,VGK,D,0,54,0.0
Philippe Myers,TOR,D,0,26,0.0
Pierre-Olivier Joseph,VAN,D,0,25,0.0
Oliver Ekman-Larsson,TOR,D,0,65,0.0
Nick Jensen,OTT,D,0,48,0.0
Alexander Nikishin,CAR,D,0,48,0.0
Brandon Montour,SEA,D,0,47,0.0
Zeev Buium,VAN,D,0,50,0.0
Uvis Balinskis,FLA,D,0,39,0.0
Bowen Byram,BUF,D,0,72,0.0
Nick Leddy,SJS,D,0,25,0.0
Jamie Drysdale,PHI,D,0,58,0.0
Drew Doughty,LAK,D,0,51,0.0
Adam Wilsby,NSH,D,0,35,0.0
Esa Lindell,DAL,D,0,50,0.0
Jonathan Aspirot,BOS,D,0,33,0.0
Alex Vlasic,CHI,D,0,65,0.0
Sam Malinski,COL,D,0,32,0.0
Ryan Pulock,NYI,D,0,40,0.0
Josh Manson,COL,D,0,42,0.0
Brady Skjei,NSH,D,0,57,0.0
Axel Sandin-Pellikka,DET,D,0,49,0.0
Sam Dickinson,SJS,D,0,51,0.0
Tyler Tucker,STL,D,0,47,0.0
Alexander Petrovic,DAL,D,0,30,0.0
Colton Parayko,STL,D,0,58,0.0
Scott Mayfield,NYI,D,0,49,0.0
Travis Sanheim,PHI,D,0,69,0.0
Shayne Gostisbehere,CAR,D,0,38,0.0
Jordan Spence,OTT,D,0,47,0.0
Brandon Carlo,TOR,D,0,41,0.0
Kevin Bahl,CGY,D,0,54,0.0
Brian Dumoulin,LAK,D,0,44,0.0
Zach Whitecloud,VGK,D,0,49,0.0
Jaccob Slavin,CAR,D,0,40,0.0
Vince Dunn,SEA,D,0,55,0.0
Adam Larsson,SEA,D,0,59,0.0
Elias Pettersson,VAN,D,0,47,0.0
Thomas Chabot,OTT,D,0,57,0.0
Justin Barron,NSH,D,0,29,0.0
Ben Hutton,VGK,D,0,34,0.0
Josh Morrissey,WPG,D,0,66,0.0
Andrew Peeke,BOS,D,0,44,0.0
Logan Stanley,WPG,D,0,47,0.0
Emil Lilleberg,TBL,D,0,33,0.0
Tyler Kleven,OTT,D,0,37,0.0
Jeremy Lauzon,VGK,D,0,54,0.0
Jake Walman,EDM,D,0,54,0.0
Joel Hanley,CGY,D,0,32,0.0
Sam Rinzel,CHI,D,0,34,0.0
Denton Mateychuk,CBJ,D,0,44,0.0
Vincent Desharnais,SJS,D,0,27,0.0
Cam Fowler,STL,D,0,63,0.0
Hampus Lindholm,BOS,D,0,47,0.0
Brett Kulak,EDM,D,0,55,0.0
Timothy Liljegren,SJS,D,0,27,0.0
Jared Spurgeon,MIN,D,0,45,0.0
Matthew Robertson,NYR,D,0,41,0.0
Jeff Petry,FLA,D,0,42,0.0
Spencer Stastney,EDM,D,0,32,0.0
Charle-Edouard D'Astous,TBL,D,0,54,0.0
Donovan Sebrango,FLA,D,0,32,0.0
Sean Walker,CAR,D,0,76,0.0
Jacob Trouba,ANA,D,0,75,0.0
Noah Juulsen,PHI,D,0,25,0.0
Vladislav Gavrikov,NYR,D,0,56,0.0
Yan Kuznetsov,CGY,D,0,40,0.0
Filip Hronek,VAN,D,0,63,0.0
