player,team,position,clean_culprits,on_ice_ga,per60
Artemi Panarin,NYR,F,8,51,0.382
Ivan Barbashev,VGK,F,8,65,0.396
Trevor Zegras,PHI,F,8,53,0.409
Mitch Marner,VGK,F,7,51,0.379
Cole Sillinger,CBJ,F,7,49,0.389
Jesper Bratt,NJD,F,6,57,0.316
Chris Kreider,ANA,F,6,54,0.386
Reilly Smith,VGK,F,6,42,0.432
Conor Garland,VAN,F,6,41,0.391
Evgeni Malkin,PIT,F,6,33,0.479
Filip Forsberg,NSH,F,6,43,0.304
Alexis Lafrenière,NYR,F,5,48,0.255
Travis Konecny,PHI,F,5,52,0.277
Nikita Kucherov,TBL,F,5,52,0.269
Michael Bunting,NSH,F,5,48,0.332
Brandon Hagel,TBL,F,5,37,0.305
Beckett Sennecke,ANA,F,5,67,0.262
J.T. Miller,NYR,F,5,47,0.316
Gabriel Vilardi,WPG,F,5,69,0.246
Anthony Mantha,PIT,F,5,47,0.301
Alex Ovechkin,WSH,F,5,47,0.302
Timo Meier,NJD,F,5,49,0.255
Nick Suzuki,MTL,F,5,59,0.249
Tyler Bertuzzi,CHI,F,4,57,0.21
Ilya Mikheyev,CHI,F,4,42,0.219
Marcus Johansson,MIN,F,4,38,0.25
Joel Farabee,CGY,F,4,39,0.225
Matthew Knies,TOR,F,4,58,0.22
Michael McCarron,NSH,F,4,47,0.269
Pavel Buchnevich,STL,F,4,46,0.229
Ryan Strome,ANA,F,4,35,0.399
Adam Fantilli,CBJ,F,4,55,0.194
Emmitt Finnie,DET,F,4,42,0.226
Dylan Larkin,DET,F,4,43,0.232
Luke Evangelista,NSH,F,4,41,0.215
Yanni Gourde,TBL,F,4,40,0.214
Nathan MacKinnon,COL,F,4,51,0.183
Mark Scheifele,WPG,F,4,80,0.175
Nick Cousins,OTT,F,4,25,0.262
Bryan Rust,PIT,F,4,56,0.239
Jesper Boqvist,FLA,F,4,33,0.313
Mackie Samoskevich,FLA,F,4,31,0.259
Ryan Nugent-Hopkins,EDM,F,4,48,0.251
Matt Duchene,DAL,F,4,39,0.323
Jonathan Marchessault,NSH,F,4,43,0.297
Auston Matthews,TOR,F,4,42,0.262
Elias Pettersson,VAN,F,4,46,0.242
Tyler Toffoli,SJS,F,3,43,0.197
Brayden Point,TBL,F,3,41,0.212
Brock Boeser,VAN,F,3,56,0.177
Sebastian Aho,CAR,F,3,56,0.171
Matias Maccelli,TOR,F,3,48,0.207
Nicolas Roy,TOR,F,3,42,0.206
Oliver Kapanen,MTL,F,3,47,0.193
Jack Drury,COL,F,3,35,0.184
Mats Zuccarello,MIN,F,3,45,0.211
Jake Guentzel,TBL,F,3,58,0.162
Ryan Greene,CHI,F,3,51,0.169
Connor Brown,NJD,F,3,42,0.176
Tomas Hertl,VGK,F,3,54,0.176
Brad Marchand,FLA,F,3,41,0.291
Seth Jarvis,CAR,F,3,51,0.196
Jordan Kyrou,STL,F,3,39,0.195
Connor McDavid,EDM,F,3,72,0.13
Jared McCann,SEA,F,3,33,0.276
Mikael Backlund,CGY,F,3,36,0.162
Tim Stützle,OTT,F,3,54,0.166
Mason McTavish,ANA,F,3,56,0.192
Mikko Rantanen,DAL,F,3,42,0.19
Ondrej Palat,NJD,F,3,43,0.195
Alexander Wennberg,SJS,F,3,58,0.164
A.J. Greer,FLA,F,3,38,0.199
Shane Pinto,OTT,F,3,48,0.187
Zach Benson,BUF,F,3,30,0.215
Eric Robinson,CAR,F,3,26,0.263
John Tavares,TOR,F,3,67,0.156
Jack Roslovic,EDM,F,3,53,0.185
Matt Savoie,EDM,F,3,46,0.182
Vladislav Namestnikov,WPG,F,3,28,0.268
Charlie Coyle,CBJ,F,3,41,0.172
Frank Nazar,CHI,F,3,43,0.207
Jake Neighbours,STL,F,3,39,0.207
Evan Rodrigues,FLA,F,3,45,0.2
Mathew Barzal,NYI,F,3,51,0.146
Viktor Arvidsson,BOS,F,3,30,0.218
Owen Tippett,PHI,F,3,52,0.17
Martin Necas,COL,F,3,48,0.142
Ridly Greig,OTT,F,3,45,0.18
Linus Karlsson,VAN,F,3,56,0.211
Evander Kane,VAN,F,3,44,0.179
Vasily Podkolzin,EDM,F,3,47,0.157
Emil Heineman,NYI,F,3,44,0.165
Zachary Bolduc,MTL,F,3,45,0.196
Frederick Gaudreau,SEA,F,3,34,0.198
Matvei Michkov,PHI,F,3,40,0.186
William Eklund,SJS,F,3,62,0.162
Taylor Hall,CAR,F,3,51,0.18
Connor Zary,CGY,F,3,38,0.198
Nazem Kadri,CGY,F,3,55,0.162
Nick Paul,TBL,F,3,32,0.308
Valeri Nichushkin,COL,F,3,44,0.19
Morgan Geekie,BOS,F,3,49,0.164
Brendan Gallagher,MTL,F,3,34,0.218
William Carrier,CAR,F,2,29,0.162
Max Domi,TOR,F,2,54,0.118
Teddy Blueger,VAN,F,2,32,0.242
Arseny Gritsyuk,NJD,F,2,34,0.135
Connor Bedard,CHI,F,2,57,0.109
Will Smith,SJS,F,2,43,0.124
Jason Robertson,DAL,F,2,38,0.098
Matt Boldy,MIN,F,2,39,0.115
Alex Killorn,ANA,F,2,54,0.118
Bobby Brink,PHI,F,2,32,0.139
Mason Marchment,CBJ,F,2,26,0.121
Dawson Mercer,NJD,F,2,41,0.104
Anthony Cirelli,TBL,F,2,32,0.137
Anders Lee,NYI,F,2,43,0.115
Peyton Krebs,BUF,F,2,42,0.112
Claude Giroux,OTT,F,2,38,0.123
Alex Laferriere,LAK,F,2,50,0.104
Steven Stamkos,NSH,F,2,49,0.11
Nikolaj Ehlers,CAR,F,2,51,0.115
Vinnie Hinostroza,MIN,F,2,31,0.18
Zach Hyman,EDM,F,2,49,0.135
Andrew Mangiapane,EDM,F,2,37,0.164
Pontus Holmberg,TBL,F,2,29,0.134
Kirill Marchenko,CBJ,F,2,36,0.108
Simon Holmstrom,NYI,F,2,41,0.125
Leon Draisaitl,EDM,F,2,56,0.115
Morgan Frost,CGY,F,2,43,0.121
Nicholas Robertson,TOR,F,2,39,0.137
Mason Appleton,DET,F,2,27,0.156
Scott Laughton,TOR,F,2,25,0.163
Cole Smith,NSH,F,2,32,0.173
Berkly Catton,SEA,F,2,29,0.154
Ross Johnston,ANA,F,2,31,0.201
Frank Vatrano,ANA,F,2,26,0.238
Ryan McLeod,BUF,F,2,56,0.118
Adam Gaudette,SJS,F,2,27,0.176
William Nylander,TOR,F,2,59,0.124
Brett Howden,VGK,F,2,42,0.165
Colin Blackwell,DAL,F,2,26,0.176
Vincent Trocheck,NYR,F,2,42,0.125
Noah Laba,NYR,F,2,25,0.141
Jamie Benn,DAL,F,2,26,0.178
Bobby McMann,TOR,F,2,49,0.109
Alex DeBrincat,DET,F,2,45,0.105
Adam Henrique,EDM,F,2,25,0.172
Tyson Jost,NSH,F,2,36,0.16
Andrew Copp,DET,F,2,38,0.117
Barclay Goodrow,SJS,F,2,31,0.159
Bo Horvat,NYI,F,2,44,0.131
Brady Tkachuk,OTT,F,2,35,0.16
Michael Amadio,OTT,F,2,45,0.104
Blake Coleman,CGY,F,2,33,0.132
Justin Brazeau,PIT,F,2,32,0.165
Luke Kunin,FLA,F,2,25,0.226
Andre Burakovsky,CHI,F,2,56,0.119
Dakota Joshua,TOR,F,2,25,0.194
