player,total_ga,n_h1,n_h2,raw_h1_rank,raw_h2_rank,adjc_h1_rank,adjc_h2_rank
Jackson LaCombe,84,44,40,8,67,4,77
Quinn Hughes,76,37,39,163,58,143,61
Sean Walker,76,34,42,173,152,178,162
Jacob Trouba,75,38,37,175,87,175,78
Brock Faber,74,32,42,31,33,20,27
Morgan Rielly,74,38,36,61,26,53,33
Noah Dobson,73,35,38,93,76,91,122
Rasmus Andersson,73,43,30,114,22,156,15
Mike Matheson,73,40,33,84,93,136,96
Bowen Byram,72,37,35,85,84,104,82
K'Andre Miller,71,33,38,22,89,33,99
Dmitry Orlov,71,37,34,16,128,11,124
Travis Sanheim,69,38,31,189,107,188,89
Lane Hutson,69,34,35,96,186,76,186
Evan Bouchard,68,35,33,100,14,77,26
Josh Morrissey,66,34,32,126,112,103,106
Dylan DeMelo,66,34,32,28,38,28,42
Ben Chiarot,66,34,32,72,46,64,34
Roman Josi,66,35,31,102,95,112,113
Marcus Pettersson,66,32,34,154,56,152,47
Alexandre Carrier,66,35,31,140,44,148,45
Darnell Nurse,66,35,31,153,57,161,38
Gustav Forsling,65,33,32,60,18,58,11
Oliver Ekman-Larsson,65,30,35,171,183,170,183
Alex Vlasic,65,32,33,49,100,45,87
Noah Hanifin,65,35,30,177,179,180,167
Zach Werenski,65,32,33,87,92,60,100
John Carlson,64,34,30,46,146,79,153
Tyler Myers,64,36,28,141,105,122,94
Kris Letang,63,30,33,168,34,176,37
Filip Hronek,63,29,34,117,75,133,55
Cam Fowler,63,32,31,125,64,114,74
Jalen Chatfield,63,36,27,37,153,37,168
Mattias Ekholm,62,31,31,101,70,111,93
Ivan Provorov,62,27,35,43,97,29,108
Jake McCabe,61,32,29,82,13,100,23
Mario Ferraro,60,32,28,167,80,172,91
Adam Larsson,59,30,29,76,20,66,20
Matthew Schaefer,58,28,30,160,59,162,51
Jamie Drysdale,58,29,29,138,155,135,150
Colton Parayko,58,29,29,109,78,129,69
Erik Karlsson,58,28,30,178,173,181,171
Parker Wotherspoon,58,28,30,149,82,121,105
Mattias Samuelsson,58,30,28,81,137,126,135
Brady Skjei,57,31,26,53,159,61,172
Cam York,57,30,27,70,6,71,18
Justin Faulk,57,27,30,45,81,40,66
Thomas Chabot,57,27,30,15,61,19,52
Rasmus Dahlin,57,29,28,62,10,86,5
Artyom Levshunov,57,34,23,14,79,13,50
Charlie McAvoy,56,29,27,67,25,57,41
Owen Power,56,27,29,4,41,7,48
Tom Willander,56,28,28,26,45,12,32
Philip Broberg,56,25,31,51,119,81,140
Vladislav Gavrikov,56,27,29,181,184,179,185
Thomas Harley,56,30,26,48,96,48,107
Jonas Siegenthaler,56,31,25,142,63,151,79
Brenden Dillon,55,27,28,3,139,6,134
Wyatt Kaiser,55,30,25,7,147,2,137
Moritz Seider,55,29,26,94,161,93,173
Vince Dunn,55,28,27,32,143,25,166
Miro Heiskanen,55,28,27,106,52,128,43
Brett Kulak,55,30,25,121,149,115,151
Ryan Shea,55,29,26,103,166,119,177
Nick Perbix,55,28,27,52,111,50,109
Brayden McNabb,54,28,26,159,135,164,127
Simon Nemec,54,27,27,137,133,139,119
Jeremy Lauzon,54,28,26,147,31,159,25
Mikey Anderson,54,30,24,56,85,55,98
Braden Schneider,54,29,25,190,188,190,188
Jake Walman,54,29,25,136,104,130,95
Charle-Edouard D'Astous,54,27,27,179,48,169,46
Kevin Bahl,54,27,27,180,124,177,145
Darren Raddysh,54,29,25,11,169,15,175
MacKenzie Weegar,54,28,26,119,120,65,128
Cody Ceci,53,26,27,95,15,117,21
Jake Middleton,53,25,28,36,42,34,80
Shea Theodore,53,27,26,104,49,95,49
Pavel Mintyukov,53,27,26,172,102,171,115
Aaron Ekblad,52,27,25,34,138,23,125
Jakob Chychrun,52,29,23,1,1,8,1
Brent Burns,51,25,26,54,60,44,65
Tony DeAngelo,51,26,25,25,129,21,123
Cale Makar,51,27,24,66,73,67,73
Sam Dickinson,51,24,27,24,182,18,184
Drew Doughty,51,24,27,152,29,163,28
Simon Edvinsson,51,26,25,10,51,14,56
Louis Crevier,50,21,29,144,109,131,92
Esa Lindell,50,24,26,107,136,116,154
Drew Helleson,50,22,28,92,91,74,72
Dougie Hamilton,50,25,25,13,131,39,143
Zeev Buium,50,26,24,127,126,80,126
Axel Sandin-Pellikka,49,23,26,17,116,10,104
Devon Toews,49,25,24,21,30,78,35
Scott Mayfield,49,25,24,59,68,51,68
Kaedan Korczak,49,26,23,74,115,82,101
J.J. Moser,49,27,22,145,12,137,44
Zach Whitecloud,49,25,24,108,150,84,132
Nick Jensen,48,23,25,88,157,97,159
Simon Benoit,48,24,24,185,177,186,170
Damon Severson,48,26,22,166,50,158,64
Alexander Nikishin,48,23,25,75,191,52,190
Luke Hughes,47,21,26,155,158,168,142
Hampus Lindholm,47,24,23,158,103,165,112
Nick Seeler,47,22,25,157,110,157,116
Logan Stanley,47,23,24,165,144,153,133
Dante Fabbro,47,20,27,169,43,167,30
Logan Mailloux,47,25,22,47,114,36,131
Connor Murphy,47,24,23,41,98,47,81
Niko Mikkola,47,24,23,33,142,42,146
Elias Pettersson,47,25,22,97,54,90,76
Albert Johansson,47,22,25,38,32,56,39
Tyler Tucker,47,25,22,63,118,49,102
Jordan Spence,47,24,23,80,165,70,181
Nicolas Hague,47,25,22,27,160,24,117
Adam Pelech,47,26,21,128,106,127,120
Brandon Montour,47,24,23,99,125,88,129
Rasmus Sandin,46,22,24,83,19,107,17
Martin Fehérváry,46,21,25,112,122,123,118
John Klingberg,46,24,22,12,35,17,58
Ryan Lindgren,46,25,21,6,11,3,4
Olen Zellweger,46,21,25,174,167,166,156
Jared Spurgeon,45,22,23,183,99,184,97
Artem Zub,45,22,23,105,77,106,86
Andrew Peeke,44,20,24,78,163,83,147
Brian Dumoulin,44,25,19,30,121,30,114
Denton Mateychuk,44,22,22,69,185,96,189
Matt Grzelcyk,43,21,22,57,39,27,22
Matt Roy,43,21,22,132,4,149,7
Dylan Samberg,42,19,23,79,187,73,187
Josh Manson,42,22,20,64,127,69,139
Jeff Petry,42,18,24,186,37,187,53
Jamie Oleksiak,42,22,20,161,17,141,2
Troy Stecher,42,21,21,5,140,9,176
Brandt Clarke,41,21,20,73,9,68,8
Will Borgen,41,19,22,156,180,154,161
Matthew Robertson,41,22,19,90,134,62,130
Brandon Carlo,41,20,21,50,154,75,160
Erik Cernak,41,19,22,123,123,125,110
Joel Edmundson,41,22,19,110,24,146,40
Ryan Pulock,40,18,22,176,151,174,163
Yan Kuznetsov,40,21,19,35,148,35,148
Jaccob Slavin,40,23,17,116,130,132,149
Seth Jones,39,19,20,18,40,41,70
Uvis Balinskis,39,20,19,130,174,108,180
Nikita Zadorov,39,19,20,151,5,160,10
Ian Moore,39,17,22,44,94,43,62
Shayne Gostisbehere,38,17,21,134,55,124,83
Nick Blankenburg,38,20,18,143,90,134,71
Carson Soucy,38,20,18,58,3,46,6
Ryker Evans,38,22,16,19,16,22,19
Jake Sanderson,37,19,18,139,132,140,111
Shakir Mukhamadullin,37,16,21,182,164,185,164
Luke Schenn,37,18,19,40,7,101,3
Tyler Kleven,37,20,17,118,176,138,179
Kaiden Guhle,35,19,16,55,71,109,63
Samuel Girard,35,16,19,65,113,102,103
Adam Wilsby,35,18,17,187,62,189,67
Neal Pionk,34,16,18,124,74,92,90
Ben Hutton,34,14,20,150,101,113,88
Sam Rinzel,34,19,15,188,145,183,121
Adam Fox,33,16,17,20,23,26,31
Jonathan Aspirot,33,21,12,89,69,72,59
Emil Lilleberg,33,17,16,129,141,63,138
Trevor van Riemsdyk,33,17,16,162,2,142,36
Spencer Stastney,32,17,15,42,53,32,24
Donovan Sebrango,32,16,16,191,28,191,14
Conor Timmins,32,15,17,98,36,85,16
Radko Gudas,32,17,15,29,88,16,152
Joel Hanley,32,15,17,68,181,110,174
Sam Malinski,32,16,16,39,168,38,158
Rasmus Ristolainen,31,17,14,170,117,182,136
Ty Emberson,31,16,15,86,171,120,169
Haydn Fleury,31,14,17,23,156,31,144
Alexander Petrovic,30,14,16,71,172,54,157
Ryan McDonagh,29,13,16,146,66,150,57
Justin Barron,29,15,14,184,178,173,155
Arber Xhekaj,29,13,16,135,83,144,75
Mason Lohrei,29,14,15,9,86,5,84
Connor Clifton,28,14,14,164,65,155,85
Jonas Brodin,28,15,13,148,72,147,54
Timothy Liljegren,27,14,13,115,8,145,9
Nikolas Matinpalo,27,13,14,133,27,118,13
Vincent Desharnais,27,13,14,111,170,87,165
Philippe Myers,26,15,11,120,175,94,178
Jayden Struble,26,12,14,91,108,98,60
Jacob Bryson,26,14,12,131,21,105,12
Nick Leddy,25,14,11,77,190,59,191
Pierre-Olivier Joseph,25,13,12,122,189,89,182
Noah Juulsen,25,13,12,113,162,99,141
Henri Jokiharju,25,12,13,2,47,1,29
