player,total_ga,n_h1,n_h2,raw_h1_rank,raw_h2_rank,adjc_h1_rank,adjc_h2_rank
Mark Scheifele,80,39,41,64,96,131,117
Kyle Connor,77,38,39,260,223,195,224
Connor McDavid,72,41,31,243,208,265,273
Gabriel Vilardi,69,40,29,84,182,105,207
John Tavares,67,33,34,139,152,152,131
Beckett Sennecke,67,33,34,90,16,103,25
Ivan Barbashev,65,32,33,166,5,180,8
David Pastrnak,62,33,29,192,317,242,328
William Eklund,62,32,30,255,99,260,102
Jack Eichel,61,32,29,162,291,122,259
Juraj Slafkovský,61,34,27,128,274,158,246
William Nylander,59,30,29,169,189,193,209
Tage Thompson,59,31,28,265,241,277,269
Nick Suzuki,59,27,32,111,14,91,6
Jake Guentzel,58,29,29,184,247,187,200
Matthew Knies,58,29,29,152,115,119,95
Macklin Celebrini,58,31,27,49,212,58,252
Cutter Gauthier,58,33,25,177,216,170,194
Alexander Wennberg,58,29,29,80,138,52,109
Jesper Bratt,57,30,27,18,85,9,38
Tyler Bertuzzi,57,30,27,91,105,148,154
Connor Bedard,57,32,25,276,224,301,247
Sidney Crosby,57,30,27,282,147,305,214
Wyatt Johnston,57,30,27,238,222,215,235
Ryan McLeod,56,28,28,195,190,209,144
Brock Boeser,56,27,29,214,178,182,178
Mason McTavish,56,31,25,124,174,111,203
Bryan Rust,56,26,30,29,312,26,281
Andre Burakovsky,56,32,24,315,62,326,62
Sebastian Aho,56,27,29,44,90,49,86
Leon Draisaitl,56,29,27,178,196,128,181
Linus Karlsson,56,30,26,107,232,154,255
Jordan Martinook,55,29,26,154,161,120,116
Nazem Kadri,55,25,30,65,240,81,266
Adam Fantilli,55,27,28,156,63,227,50
Kirill Kaprizov,55,29,26,209,142,235,173
Chris Kreider,54,28,26,21,134,35,164
Tim Stützle,54,27,27,176,74,171,82
Max Domi,54,25,29,253,218,262,229
Brayden Schenn,54,29,25,299,266,307,283
Alex Killorn,54,26,28,85,242,73,272
Tomas Hertl,54,28,26,132,211,138,198
Andrei Svechnikov,54,24,30,146,281,121,256
Jack Roslovic,53,27,26,160,73,163,71
Logan Stankoven,53,27,26,313,94,324,137
Leo Carlsson,53,29,24,261,322,226,327
Lucas Raymond,53,24,29,113,270,101,303
Christian Dvorak,53,27,26,180,275,207,261
Kiefer Sherwood,53,28,25,273,225,289,221
Trevor Zegras,53,28,25,2,51,2,52
Carter Verhaeghe,52,26,26,225,296,136,321
Nikita Kucherov,52,25,27,75,135,137,208
Owen Tippett,52,27,25,172,18,194,11
Travis Konecny,52,27,25,143,20,133,23
Matt Coronato,52,27,25,170,292,117,294
Jack Quinn,51,26,25,251,300,245,271
Taylor Hall,51,26,25,81,156,87,161
Cole Caufield,51,23,28,301,192,299,230
