rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
1,Martin Fehérváry,WSH,D,mid,48,0.0115,100.0,2.54,2.55
2,Jake Walman,SJS,D,mid,70,0.0107,99.0,2.8,2.92
3,Sean Walker,CAR,D,mid,59,0.0096,97.0,2.42,2.47
4,Luke Schenn,NSH,D,mid,44,0.0094,96.0,2.38,2.24
5,Jake Middleton,MIN,D,mid,38,0.0092,94.0,2.55,2.11
6,Vladislav Gavrikov,LAK,D,hi,48,0.0091,100.0,1.95,1.64
7,Troy Stecher,EDM,D,lo,29,0.0085,100.0,2.49,2.16
8,Ryan Lindgren,NYR,D,mid,51,0.0082,93.0,2.72,2.7
9,Scott Perunovich,NYI,D,lo,26,0.0082,98.0,2.35,3.46
10,Quinn Hughes,VAN,D,hi,58,0.008,99.0,2.33,2.51
11,Olli Maatta,?,D,hi,39,0.0078,97.0,2.29,1.95
12,Ian Cole,?,D,hi,59,0.0077,96.0,2.52,2.45
13,Jackson LaCombe,ANA,D,mid,42,0.0077,91.0,2.76,2.37
14,Philip Broberg,STL,D,mid,34,0.0072,90.0,2.34,1.39
15,Brandon Carlo,BOS,D,hi,52,0.007,94.0,2.52,2.28
16,Tyler Kleven,OTT,D,mid,43,0.0069,88.0,2.41,2.34
17,Jacob Trouba,ANA,D,hi,66,0.0066,93.0,3.03,3.19
18,Ivan Provorov,CBJ,D,hi,64,0.0064,91.0,2.7,2.54
19,Jordan Spence,LAK,D,mid,26,0.006,87.0,1.91,1.47
20,Ilya Lyubushkin,DAL,D,mid,51,0.0057,85.0,2.58,2.29
21,Alex Vlasic,CHI,D,hi,81,0.0055,90.0,2.86,3.55
22,Ty Emberson,EDM,D,lo,43,0.0051,97.0,2.35,2.82
23,Thomas Chabot,OTT,D,hi,59,0.0051,88.0,2.5,2.41
24,Adam Larsson,SEA,D,hi,56,0.0048,87.0,2.79,2.73
25,Zach Whitecloud,VGK,D,mid,42,0.0048,84.0,2.46,2.08
26,David Savard,MTL,D,lo,45,0.0047,95.0,2.95,2.71
27,Mario Ferraro,SJS,D,hi,76,0.0047,85.0,2.96,3.28
28,J.J. Moser,TBL,D,lo,31,0.0043,94.0,2.47,2.34
29,Shea Theodore,VGK,D,mid,53,0.0043,82.0,2.35,2.04
30,Nate Schmidt,FLA,D,mid,42,0.0042,81.0,1.94,2.0
31,Chris Tanev,TOR,D,mid,41,0.0042,79.0,2.14,1.61
32,Artem Zub,OTT,D,lo,37,0.0041,92.0,2.0,2.27
33,Brayden Pachal,CGY,D,lo,29,0.0041,91.0,2.56,1.74
34,Victor Hedman,TBL,D,hi,52,0.0038,84.0,2.49,2.11
35,Rasmus Andersson,CGY,D,hi,63,0.0038,82.0,2.66,2.47
36,Sam Malinski,COL,D,mid,39,0.0037,78.0,2.29,1.99
37,Nick Perbix,TBL,D,mid,37,0.0036,76.0,2.48,2.36
38,Vince Dunn,SEA,D,mid,47,0.0036,75.0,2.89,3.01
39,Nick Seeler,PHI,D,mid,46,0.0034,74.0,2.34,2.4
40,Cam Fowler,STL,D,mid,56,0.0033,72.0,2.51,2.4
41,Charlie McAvoy,BOS,D,lo,25,0.0033,89.0,2.52,2.14
42,Moritz Seider,DET,D,hi,56,0.0033,81.0,2.52,2.0
43,Jamie Oleksiak,SEA,D,mid,58,0.0032,71.0,2.62,2.69
44,Alexander Romanov,NYI,D,mid,51,0.0031,69.0,2.78,2.56
45,K'Andre Miller,NYR,D,hi,66,0.003,79.0,2.84,2.96
46,Nikita Zadorov,BOS,D,hi,38,0.0029,78.0,2.46,2.03
47,Justin Holl,DET,D,lo,39,0.0029,88.0,2.37,2.56
48,Ryan McDonagh,TBL,D,hi,42,0.0029,76.0,2.29,1.96
49,Colton Parayko,STL,D,mid,56,0.0029,68.0,2.34,2.42
50,Andrew Peeke,BOS,D,mid,48,0.0029,66.0,2.42,2.72
51,Simon Benoit,TOR,D,mid,40,0.0028,65.0,2.75,1.84
52,Johnathan Kovacevic,NJD,D,hi,42,0.0028,75.0,2.08,1.89
53,Damon Severson,CBJ,D,mid,50,0.0028,63.0,2.58,2.83
54,Drew Doughty,LAK,D,lo,29,0.0027,86.0,2.43,1.71
55,Thomas Harley,DAL,D,hi,62,0.0027,73.0,2.61,2.06
56,Carson Soucy,VAN,D,mid,46,0.0026,62.0,2.48,2.28
57,Adam Fox,NYR,D,mid,53,0.0026,60.0,2.47,2.28
