rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
1,Martin Fehérváry,WSH,D,mid,48,0.2026,100.0,2.54,2.55
2,Jake Walman,SJS,D,mid,70,0.2021,99.0,2.8,2.92
3,Sean Walker,CAR,D,mid,59,0.2006,97.0,2.42,2.47
4,Luke Schenn,NSH,D,mid,44,0.2004,96.0,2.38,2.24
5,Jake Middleton,MIN,D,mid,38,0.2003,94.0,2.55,2.11
6,Vladislav Gavrikov,LAK,D,hi,48,0.1997,100.0,1.95,1.64
7,Troy Stecher,EDM,D,lo,29,0.1996,100.0,2.49,2.16
8,Ryan Lindgren,NYR,D,mid,51,0.1995,93.0,2.72,2.7
9,Scott Perunovich,NYI,D,lo,26,0.1991,98.0,2.35,3.46
10,Jackson LaCombe,ANA,D,mid,42,0.199,91.0,2.76,2.37
11,Quinn Hughes,VAN,D,hi,58,0.1989,99.0,2.33,2.51
12,Ian Cole,?,D,hi,59,0.1988,97.0,2.52,2.45
13,Olli Maatta,?,D,hi,39,0.1988,96.0,2.29,1.95
14,Philip Broberg,STL,D,mid,34,0.1981,90.0,2.34,1.39
15,Jacob Trouba,ANA,D,hi,66,0.1981,94.0,3.03,3.19
16,Brandon Carlo,BOS,D,hi,52,0.1981,93.0,2.52,2.28
17,Tyler Kleven,OTT,D,mid,43,0.1979,88.0,2.41,2.34
18,Ivan Provorov,CBJ,D,hi,64,0.1976,91.0,2.7,2.54
19,Alex Vlasic,CHI,D,hi,81,0.1969,90.0,2.86,3.55
20,Ilya Lyubushkin,DAL,D,mid,51,0.1969,87.0,2.58,2.29
21,Jordan Spence,LAK,D,mid,26,0.1966,85.0,1.91,1.47
22,David Savard,MTL,D,lo,45,0.1962,97.0,2.95,2.71
23,Thomas Chabot,OTT,D,hi,59,0.1962,88.0,2.5,2.41
24,Adam Larsson,SEA,D,hi,56,0.1961,87.0,2.79,2.73
25,Mario Ferraro,SJS,D,hi,76,0.1961,85.0,2.96,3.28
26,Ty Emberson,EDM,D,lo,43,0.1961,95.0,2.35,2.82
27,Zach Whitecloud,VGK,D,mid,42,0.1958,84.0,2.46,2.08
28,J.J. Moser,TBL,D,lo,31,0.1954,94.0,2.47,2.34
29,Shea Theodore,VGK,D,mid,53,0.1952,82.0,2.35,2.04
30,Brayden Pachal,CGY,D,lo,29,0.1952,92.0,2.56,1.74
31,Vince Dunn,SEA,D,mid,47,0.195,81.0,2.89,3.01
32,Rasmus Andersson,CGY,D,hi,63,0.195,84.0,2.66,2.47
33,Chris Tanev,TOR,D,mid,41,0.195,79.0,2.14,1.61
34,Victor Hedman,TBL,D,hi,52,0.1949,82.0,2.49,2.11
35,Nate Schmidt,FLA,D,mid,42,0.1948,78.0,1.94,2.0
36,Artem Zub,OTT,D,lo,37,0.1947,91.0,2.0,2.27
37,Nick Perbix,TBL,D,mid,37,0.1946,76.0,2.48,2.36
38,Sam Malinski,COL,D,mid,39,0.1946,75.0,2.29,1.99
39,Alexander Romanov,NYI,D,mid,51,0.1945,74.0,2.78,2.56
40,Jamie Oleksiak,SEA,D,mid,58,0.1944,72.0,2.62,2.69
41,Cam Fowler,STL,D,mid,56,0.1944,71.0,2.51,2.4
42,Charlie McAvoy,BOS,D,lo,25,0.1944,89.0,2.52,2.14
43,Moritz Seider,DET,D,hi,56,0.1944,81.0,2.52,2.0
44,K'Andre Miller,NYR,D,hi,66,0.1944,79.0,2.84,2.96
45,Nick Seeler,PHI,D,mid,46,0.1943,69.0,2.34,2.4
46,Simon Benoit,TOR,D,mid,40,0.1941,68.0,2.75,1.84
47,Nikita Zadorov,BOS,D,hi,38,0.194,78.0,2.46,2.03
48,Justin Holl,DET,D,lo,39,0.1939,88.0,2.37,2.56
49,Damon Severson,CBJ,D,mid,50,0.1939,66.0,2.58,2.83
50,Andrew Peeke,BOS,D,mid,48,0.1939,65.0,2.42,2.72
51,Thomas Harley,DAL,D,hi,62,0.1938,76.0,2.61,2.06
52,Ryan McDonagh,TBL,D,hi,42,0.1938,75.0,2.29,1.96
53,Colton Parayko,STL,D,mid,56,0.1938,63.0,2.34,2.42
54,Drew Doughty,LAK,D,lo,29,0.1937,86.0,2.43,1.71
55,Carson Soucy,VAN,D,mid,46,0.1937,62.0,2.48,2.28
56,Adam Fox,NYR,D,mid,53,0.1936,60.0,2.47,2.28
