rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
1,Jakob Chychrun,WSH,D,hi,52,0.0169,100.0,2.88,1.92
2,Ryan Lindgren,SEA,D,mid,46,0.0157,100.0,2.9,2.37
3,Henri Jokiharju,BOS,D,lo,25,0.0131,100.0,2.84,2.94
4,Tom Willander,VAN,D,lo,56,0.01,98.0,3.11,3.4
5,Ryker Evans,SEA,D,lo,38,0.0099,97.0,2.56,2.39
6,Carson Soucy,NYI,D,mid,38,0.0095,98.0,2.75,2.37
7,Owen Power,BUF,D,hi,56,0.0095,98.0,2.79,2.36
8,Brock Faber,MIN,D,hi,74,0.0093,97.0,2.67,2.82
9,Matt Grzelcyk,CHI,D,lo,43,0.0093,95.0,3.03,2.66
10,Artyom Levshunov,CHI,D,lo,57,0.0092,94.0,3.44,3.52
11,Jackson LaCombe,ANA,D,hi,84,0.0089,95.0,2.82,2.88
12,Luke Schenn,WPG,D,lo,37,0.0086,92.0,3.04,3.33
13,Brandt Clarke,LAK,D,hi,41,0.0085,94.0,2.4,1.96
14,Simon Edvinsson,DET,D,hi,51,0.0083,92.0,2.57,2.36
15,Gustav Forsling,FLA,D,hi,65,0.008,91.0,2.67,2.98
16,Rasmus Dahlin,BUF,D,hi,57,0.0079,89.0,2.61,2.22
17,Mason Lohrei,BOS,D,mid,29,0.0077,97.0,2.94,1.61
18,Spencer Stastney,EDM,D,lo,32,0.0076,90.0,2.6,2.33
19,Adam Fox,NYR,D,lo,33,0.0074,89.0,2.21,2.01
20,John Klingberg,SJS,D,lo,46,0.007,87.0,3.01,3.28
21,Thomas Chabot,OTT,D,lo,57,0.007,86.0,2.45,3.31
22,Wyatt Kaiser,CHI,D,mid,55,0.0068,95.0,2.93,3.02
23,Dylan DeMelo,WPG,D,hi,66,0.0068,88.0,2.55,2.47
24,Adam Larsson,SEA,D,hi,59,0.0065,86.0,2.97,2.58
25,Nikolas Matinpalo,OTT,D,lo,27,0.0065,84.0,2.32,2.4
26,Cam York,PHI,D,mid,57,0.0063,94.0,2.25,2.37
27,Conor Timmins,BUF,D,lo,32,0.0063,83.0,2.87,3.03
28,Rasmus Sandin,WSH,D,mid,46,0.0059,92.0,2.62,2.6
29,Jacob Bryson,WPG,D,lo,26,0.0058,81.0,2.48,3.42
30,Jamie Oleksiak,SEA,D,mid,42,0.0058,91.0,2.46,2.1
31,Matt Roy,WSH,D,hi,43,0.0056,84.0,2.72,2.2
32,Axel Sandin-Pellikka,DET,D,lo,49,0.0056,79.0,3.04,3.1
33,Evan Bouchard,EDM,D,hi,68,0.0055,83.0,2.69,2.83
34,Morgan Rielly,TOR,D,hi,74,0.0054,81.0,2.99,3.52
35,Albert Johansson,DET,D,mid,47,0.0054,89.0,2.75,2.67
36,Timothy Liljegren,SJS,D,lo,27,0.0047,78.0,2.86,2.69
37,Ben Chiarot,DET,D,hi,66,0.0047,80.0,3.11,2.71
38,Cody Ceci,LAK,D,mid,53,0.0046,88.0,2.46,2.41
39,Charlie McAvoy,BOS,D,mid,56,0.0046,86.0,2.92,2.56
40,Jake McCabe,TOR,D,hi,61,0.0045,78.0,2.77,2.93
41,Devon Toews,COL,D,mid,49,0.0045,84.0,2.5,2.12
42,Dmitry Orlov,SJS,D,hi,71,0.0042,77.0,2.82,3.08
43,Justin Faulk,STL,D,hi,57,0.004,75.0,2.67,2.69
44,Ian Moore,ANA,D,lo,39,0.004,76.0,2.51,2.71
45,Seth Jones,FLA,D,lo,39,0.0039,75.0,2.67,2.44
46,Brenden Dillon,NJD,D,mid,55,0.0039,83.0,2.59,3.0
47,Jake Middleton,MIN,D,mid,53,0.0037,81.0,2.55,2.27
48,Brent Burns,COL,D,mid,51,0.0037,80.0,2.58,2.13
49,Nikita Zadorov,BOS,D,hi,39,0.0037,73.0,2.93,2.07
50,Nicolas Hague,NSH,D,lo,47,0.0032,73.0,2.83,2.8
51,Scott Mayfield,NYI,D,mid,49,0.0032,78.0,2.78,2.68
52,Tony DeAngelo,NYI,D,mid,51,0.0032,77.0,3.07,2.47
