rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
1,Jordan Martinook,CAR,F,mid,41,0.0337,100.0,2.27,1.97
2,Philipp Kurashev,CHI,F,lo,27,0.0326,100.0,2.74,3.3
3,Cody Glass,PIT,F,lo,30,0.0268,99.0,1.95,2.51
4,Beck Malenstyn,BUF,F,lo,30,0.0255,98.0,2.41,2.65
5,Luke Kunin,SJS,F,lo,53,0.0254,97.0,2.94,3.45
6,Jack McBain,?,F,mid,29,0.0232,99.0,2.36,1.77
7,Brady Tkachuk,OTT,F,mid,37,0.0229,98.0,2.3,2.32
8,Robby Fabbri,ANA,F,lo,25,0.0213,96.0,3.67,2.12
9,Michael Rasmussen,DET,F,lo,34,0.0208,95.0,2.42,2.37
10,Cole Perfetti,WPG,F,hi,38,0.0201,100.0,2.31,1.63
11,Maxim Tsyplakov,NYI,F,mid,37,0.0196,97.0,2.46,2.43
12,Timo Meier,NJD,F,hi,31,0.0182,99.0,2.41,1.65
13,Mikael Granlund,SJS,F,hi,57,0.0178,98.0,3.31,2.56
14,Ross Colton,COL,F,lo,26,0.0176,95.0,2.23,2.01
15,Nazem Kadri,CGY,F,hi,51,0.0176,97.0,2.59,2.21
16,Michael McCarron,NSH,F,lo,37,0.0171,94.0,2.55,3.14
17,Mattias Janmark,EDM,F,lo,31,0.0171,93.0,2.43,2.16
18,Yakov Trenin,MIN,F,lo,30,0.016,92.0,2.33,2.2
19,Evan Rodrigues,FLA,F,hi,49,0.0158,96.0,2.31,2.2
20,Tyson Foerster,PHI,F,hi,45,0.0156,96.0,2.18,2.41
21,Alexander Kerfoot,?,F,mid,37,0.0156,96.0,2.4,2.29
22,Juraj Slafkovský,MTL,F,hi,45,0.0155,95.0,3.05,2.54
23,Connor Brown,EDM,F,mid,35,0.0152,96.0,2.32,1.97
24,Pierre Engvall,NYI,F,lo,29,0.0151,91.0,2.37,2.59
25,Patrick Kane,DET,F,mid,33,0.0149,95.0,2.85,1.9
26,Will Cuylle,NYR,F,mid,48,0.0146,94.0,2.84,2.67
27,Ryan McLeod,BUF,F,mid,44,0.0142,93.0,2.71,2.86
28,Connor McMichael,WSH,F,hi,43,0.014,94.0,2.76,2.53
29,Blake Lizotte,PIT,F,lo,29,0.0132,90.0,2.35,2.38
30,Tage Thompson,BUF,F,hi,51,0.0131,93.0,2.66,2.99
31,Nils Hoglander,VAN,F,lo,25,0.0128,89.0,2.17,1.92
32,Nikita Kucherov,TBL,F,hi,49,0.0127,92.0,2.61,2.33
33,Brandon Saad,STL,F,mid,50,0.0126,92.0,2.38,2.81
34,Max Domi,TOR,F,lo,36,0.0125,88.0,2.51,2.17
35,Alex Killorn,ANA,F,mid,38,0.0121,91.0,2.58,2.2
36,Zachary L'Heureux,NSH,F,lo,26,0.012,87.0,2.46,2.84
37,Jack Hughes,NJD,F,mid,31,0.0119,90.0,2.36,2.21
38,Ryan Strome,ANA,F,hi,44,0.0117,91.0,3.15,2.67
39,Garnet Hathaway,PHI,F,lo,26,0.0114,86.0,2.02,2.28
40,Brad Marchand,BOS,F,lo,40,0.0113,86.0,2.81,2.31
41,Zach Hyman,EDM,F,hi,56,0.0111,90.0,2.33,2.83
42,Luke Evangelista,NSH,F,lo,29,0.011,85.0,2.32,2.3
43,Ivan Barbashev,VGK,F,mid,49,0.0109,89.0,2.65,2.34
44,Matthew Knies,TOR,F,hi,55,0.0109,89.0,2.46,2.32
45,Eric Robinson,CAR,F,mid,42,0.0108,88.0,2.41,2.44
46,Pius Suter,VAN,F,mid,47,0.0107,88.0,2.28,2.45
47,Marco Rossi,MIN,F,hi,45,0.0107,88.0,2.34,2.11
48,Anthony Beauvillier,PIT,F,mid,40,0.0104,87.0,2.32,2.37
49,Elias Pettersson,VAN,F,lo,37,0.0103,84.0,2.18,2.4
