rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
1,Conor Garland,VAN,F,mid,41,0.0345,100.0,3.13,2.67
2,Evgeni Malkin,PIT,F,lo,33,0.0298,100.0,3.08,2.39
3,Artemi Panarin,NYR,F,hi,51,0.0296,100.0,2.53,2.53
4,Trevor Zegras,PHI,F,hi,53,0.0294,99.0,2.49,2.56
5,Brandon Hagel,TBL,F,mid,37,0.0288,99.0,2.65,2.26
6,Mitch Marner,VGK,F,hi,51,0.0284,98.0,2.27,2.01
7,Jesper Bratt,NJD,F,hi,57,0.0248,97.0,2.7,3.11
8,Nick Cousins,OTT,F,mid,25,0.0248,98.0,2.06,1.77
9,Nick Suzuki,MTL,F,hi,59,0.0218,96.0,2.7,1.99
10,Jared McCann,SEA,F,lo,33,0.0212,99.0,2.67,2.76
11,Zach Benson,BUF,F,lo,30,0.0193,98.0,2.76,1.94
12,Noah Laba,NYR,F,lo,25,0.0193,97.0,2.51,1.83
13,Anthony Mantha,PIT,F,mid,47,0.0193,97.0,2.89,2.77
14,Matt Duchene,DAL,F,lo,39,0.019,96.0,2.62,2.83
15,Filip Forsberg,NSH,F,hi,43,0.0176,95.0,2.86,2.18
16,Vladislav Namestnikov,WPG,F,lo,28,0.0174,95.0,2.45,2.5
17,Mackie Samoskevich,FLA,F,mid,31,0.0165,96.0,2.42,2.21
18,Arseny Gritsyuk,NJD,F,mid,34,0.0163,96.0,2.43,2.49
19,Connor Zary,CGY,F,mid,38,0.0162,95.0,2.76,2.31
20,Pavel Buchnevich,STL,F,hi,46,0.0159,95.0,2.72,2.75
21,Vinnie Hinostroza,MIN,F,lo,31,0.015,95.0,3.46,3.15
22,Jesper Boqvist,FLA,F,lo,33,0.0146,94.0,2.49,2.58
23,Ryan Nugent-Hopkins,EDM,F,mid,48,0.0143,94.0,2.86,3.08
24,Ryan Strome,ANA,F,lo,35,0.0142,93.0,2.77,3.29
25,Joel Farabee,CGY,F,hi,39,0.0142,94.0,2.71,2.7
26,Luke Evangelista,NSH,F,hi,41,0.0142,93.0,2.51,2.52
27,Cole Sillinger,CBJ,F,hi,49,0.0141,92.0,2.57,2.72
28,Tyler Toffoli,SJS,F,mid,43,0.014,93.0,2.73,2.69
29,Frank Vatrano,ANA,F,lo,26,0.0138,92.0,3.25,3.45
30,Ilya Mikheyev,CHI,F,hi,42,0.0135,91.0,3.11,2.35
31,Nathan MacKinnon,COL,F,hi,51,0.0131,90.0,2.79,1.92
32,Jake Neighbours,STL,F,mid,39,0.0131,92.0,2.33,2.9
33,J.T. Miller,NYR,F,mid,47,0.013,91.0,2.57,3.16
34,Brady Tkachuk,OTT,F,lo,35,0.0128,91.0,2.24,2.72
35,Ivan Barbashev,VGK,F,hi,65,0.0126,89.0,2.39,2.48
36,Nathan Walker,STL,F,lo,27,0.0123,90.0,2.41,3.52
37,Beckett Sennecke,ANA,F,hi,67,0.012,88.0,2.99,2.99
