rank,player,team,position,tier,on_ice_ga,rate,pct_in_tier,on_ice_xga60,ga_per60
1,Nick Cousins,OTT,F,mid,25,0.2386,100.0,2.06,1.77
2,Trevor Zegras,PHI,F,hi,53,0.2337,100.0,2.49,2.56
3,Evgeni Malkin,PIT,F,lo,33,0.2335,100.0,3.08,2.39
4,Conor Garland,VAN,F,mid,41,0.2333,99.0,3.13,2.67
5,Artemi Panarin,NYR,F,hi,51,0.2324,99.0,2.53,2.53
6,Mitch Marner,VGK,F,hi,51,0.2314,98.0,2.27,2.01
7,Brandon Hagel,TBL,F,mid,37,0.2299,98.0,2.65,2.26
8,Jared McCann,SEA,F,lo,33,0.2284,99.0,2.67,2.76
9,Mackie Samoskevich,FLA,F,mid,31,0.2232,97.0,2.42,2.21
10,Filip Forsberg,NSH,F,hi,43,0.2232,97.0,2.86,2.18
11,Jesper Bratt,NJD,F,hi,57,0.223,96.0,2.7,3.11
12,Matt Duchene,DAL,F,lo,39,0.223,98.0,2.62,2.83
13,Vladislav Namestnikov,WPG,F,lo,28,0.2223,97.0,2.45,2.5
14,Anthony Mantha,PIT,F,mid,47,0.2219,96.0,2.89,2.77
15,Connor Zary,CGY,F,mid,38,0.2219,96.0,2.76,2.31
16,J.T. Miller,NYR,F,mid,47,0.2216,95.0,2.57,3.16
17,Adam Klapka,CGY,F,lo,27,0.2214,96.0,2.79,2.28
18,Luke Evangelista,NSH,F,hi,41,0.2214,95.0,2.51,2.52
19,Reilly Smith,VGK,F,lo,42,0.2205,95.0,2.6,2.81
20,Beckett Sennecke,ANA,F,hi,67,0.2204,95.0,2.99,2.99
21,Tyler Toffoli,SJS,F,mid,43,0.2202,94.0,2.73,2.69
22,Ryan Nugent-Hopkins,EDM,F,mid,48,0.2201,93.0,2.86,3.08
23,Ivan Barbashev,VGK,F,hi,65,0.2201,94.0,2.39,2.48
24,Jesper Boqvist,FLA,F,lo,33,0.2199,95.0,2.49,2.58
25,Nick Suzuki,MTL,F,hi,59,0.2197,93.0,2.7,1.99
26,Chris Kreider,ANA,F,mid,54,0.2196,92.0,2.82,3.03
27,Zach Benson,BUF,F,lo,30,0.2192,94.0,2.76,1.94
28,Arseny Gritsyuk,NJD,F,mid,34,0.2192,91.0,2.43,2.49
29,Noah Laba,NYR,F,lo,25,0.2192,93.0,2.51,1.83
30,Vinnie Hinostroza,MIN,F,lo,31,0.2189,92.0,3.46,3.15
31,Michael Bunting,NSH,F,mid,48,0.2188,90.0,2.72,3.52
32,Cole Sillinger,CBJ,F,hi,49,0.2186,92.0,2.57,2.72
33,Pavel Buchnevich,STL,F,hi,46,0.2184,91.0,2.72,2.75
34,Frank Vatrano,ANA,F,lo,26,0.2183,91.0,3.25,3.45
35,Adam Henrique,EDM,F,lo,25,0.2183,90.0,2.32,2.57
36,Joel Farabee,CGY,F,hi,39,0.2182,90.0,2.71,2.7
37,Noel Acciari,PIT,F,lo,25,0.218,89.0,2.43,2.08
38,Timo Meier,NJD,F,hi,49,0.2173,89.0,2.74,2.9
39,William Carrier,CAR,F,lo,29,0.2167,88.0,2.1,2.35
40,Jake Neighbours,STL,F,mid,39,0.2167,89.0,2.33,2.9
41,Ryan Strome,ANA,F,lo,35,0.2164,87.0,2.77,3.29
42,Sebastian Aho,CAR,F,hi,56,0.2162,88.0,2.73,2.86
43,Alex Ovechkin,WSH,F,mid,47,0.2159,88.0,2.92,2.42
44,Travis Konecny,PHI,F,hi,52,0.2158,87.0,2.81,2.27
45,Brendan Gallagher,MTL,F,lo,34,0.2156,86.0,2.85,2.33
46,Scott Laughton,TOR,F,lo,25,0.2154,85.0,2.37,2.28
47,Ilya Mikheyev,CHI,F,hi,42,0.2154,86.0,3.11,2.35
48,Connor Brown,NJD,F,hi,42,0.2152,86.0,2.66,2.64
49,Mikko Rantanen,DAL,F,mid,42,0.2152,88.0,2.6,2.02
